id;home;away;home_score;away_score;home_win
1;Mexico;South Africa;2;0
2;South Korea;Czechia;2;1
3;Canada;Bosnia and Herzegovina;1;1
4;USA;Paraguay;4;1
5;Qatar;Switzerland;1;1
6;Brazil;Morocco;1;1
7;Haiti;Scotland;0;1
8;Australia;Turkey;2;0
9;Germany;Curacao;7;1
10;Netherlands;Japan;2;2
11;Ivory Coast;Ecuador;1;0
12;Sweden;Tunisia;5;1
13;Spain;Cabo Verde;0;0
14;Belgium;Egypt;1;1
15;Saudi Arabia;Uruguay;1;1
16;Iran;New Zealand;2;2
17;France;Senegal;3;1
18;Iraq;Norway;1;4
19;Argentina;Algeria;3;0
20;Austria;Jordan;3;1
21;Portugal;DR Congo;1;1
22;England;Croatia;4;2
23;Ghana;Panama;1;0
24;Uzbekistan;Colombia;1;3
25;Czechia;South Africa;1;1
26;Switzerland;Bosnia and Herzegovina;4;1
27;Canada;Qatar;6;0
28;Mexico;South Korea;1;0
29;USA;Australia;2;0
30;Scotland;Morocco;0;1
31;Brazil;Haiti;3;0
32;Turkey;Paraguay;0;1
33;Netherlands;Sweden;5;1
34;Germany;Ivory Coast;2;1
35;Equador;Curacao;0;0
36;Tunisia;Japan;0;4
37;Spain;Saudi Arabia;4;0
38;Belgium;Iran;0;0
39;Uruguay;Cabo Verde;2;2
40;New Zealand;Egypt;1;3
41;Argentina;Austria;2;0
42;France;Iraq;3;0
43;Norway;Senegal;3;2
44;Jordan;Algeria;1;2
45;Portugal;Uzbekistan;5;0
46;England;Ghana;0;0
47;Panama;Croatia;0;1
48;Colombia;DR Congo;1;0
49;Switzerland;Canada;2;1
50;Bosnia and Herzegovina;Qatar;3;1
51;Morocco;Haiti;4;2
52;Scotland;Brazil;0;3
53;South Africa;South Korea;1;0
54;Czechia;Mexico;0;3
55;Curacao;Ivory Coast;0;2
56;Equador;Germany;2;1
57;Tunisia;Netherlands;1;3
58;Japan;Sweden;1;1
59;Turkey;USA;3;2
60;Paraguay;Australia;0;0
61;Norway;France;1;4
62;Senegal;Iraq;5;0
63;Cabo Verde;Saudi Arabia;0;0
64;Uruguay;Spain;0;1
65;New Zealand;Belgium;1;5
66;Egypt;Iran;1;1
67;Panama;England;0;2
68;Croatia;Ghana;2;1
69;Colombia;Portugal;0;0
70;DR Congo;Uzbekistan;3;1
71;Algeria;Austria;;
72;Jordan;Argentina;;
73;South Africa;Canada;;
74;Brazil;Japan;;
75;Germany;Paraguay;;
76;Netherlands;Morocco;;
77;Ivory Coast;Norway;;
78;France;Sweden;;
79;Mexico;Ecuador;;
80;England;DR Congo;;
81;Belgium;Senegal;;
82;USA;Bosnia and Herzegovina;;